Code,Name,Learning Outcomes,Description
4.8.3.2,Metal hydroxides,"Student should be able to: identify metal ions ($Al^{3+}$, $Ca^{2+}$, $Mg^{2+}$, $Cu^{2+}$, $Fe^{2+}$, $Fe^{3+}$) using sodium hydroxide; write balanced equations for the production of insoluble hydroxides.","Sodium hydroxide solution forms characteristic precipitates with specific metal ions. $Al^{3+}$, $Ca^{2+}$, and $Mg^{2+}$ form white precipitates (only $Al^{3+}$ redissolves in excess NaOH). Coloured precipitates include Copper(II) (blue), Iron(II) (green), and Iron(III) (brown)."
4.8.3.3,Carbonates,Student should be able to identify carbonate ions using chemical tests.,Carbonates react with dilute acids to produce carbon dioxide gas. This gas is then bubbled through limewater to confirm the identity of the original carbonate through a milky/cloudy result.
4.8.3.4,Halides,"Student should be able to identify halide ions ($Cl^-$, $Br^-$, $I^-$) using silver nitrate.","In the presence of dilute nitric acid, silver nitrate reacts with halide ions to form precipitates: Silver chloride (white), Silver bromide (cream), and Silver iodide (yellow)."
4.8.3.5,Sulfates,Student should be able to identify sulfate ions ($SO_4^{2-}$) using barium chloride.,Sulfate ions in solution react with barium chloride in the presence of dilute hydrochloric acid to produce a white precipitate of barium sulfate.
4.8.3.6,Instrumental methods,"Student should be able to state the advantages of instrumental methods (accuracy, sensitivity, and speed) compared to chemical tests.","Modern analysis relies on sophisticated instruments that provide high accuracy and sensitivity, allowing for the rapid detection of chemicals even in minute quantities. These are essential in fields like forensics and drug control."
4.8.3.7,Flame emission spectroscopy,Student should be able to interpret instrumental results (line spectra) to identify metal ions and measure concentrations.,"This instrumental method involves passing light from a flame-heated sample through a spectroscope. The resulting line spectrum acts as a ""fingerprint"" to identify specific metal ions and calculate their concentration in the solution."
4.9.1.1,The proportions of different gases in the atmosphere,"Student should be able to identify the approximate proportions of nitrogen, oxygen, and other gases (carbon dioxide, water vapour, and noble gases) in the current atmosphere.","For approximately 200 million years, the Earth's atmosphere has maintained a stable composition. It is predominantly Nitrogen (~80% or four-fifths) and Oxygen (~20% or one-fifth), with small percentages of various other gases including Carbon Dioxide, water vapour, and the noble gases."
4.9.1.2,The Earth's early atmosphere,Student should be able to: interpret evidence and evaluate different theories about the Earth’s early atmosphere given appropriate information.,"Earth's early atmosphere, dating back 4.6 billion years, was likely formed by intense volcanic activity releasing nitrogen, water vapour, and small amounts of methane and ammonia. It was primarily carbon dioxide with little to no oxygen, similar to modern-day Mars and Venus. Water vapour eventually condensed to form the oceans."
4.9.1.3,How oxygen increased,Student should be able to recall the role of algae and plants in producing oxygen via photosynthesis and the timeline of animal evolution.,"Oxygen levels rose significantly about 2.7 billion years ago when algae first evolved and began photosynthesis ($6CO_2 + 6H_2O \rightarrow C_6H_{12}O_6 + 6O_2$). Over the following billion years, the evolution of plants increased oxygen percentages to a level that supported the development of animal life."
4.9.1.4,How carbon dioxide decreased,"Student should be able to: describe the main changes in the atmosphere over time and their likely causes; explain the formation of limestone, coal, crude oil, and natural gas.","Atmospheric $CO_2$ was reduced through three main processes: absorption by algae and plants for photosynthesis, dissolution into oceans to form carbonate sediments/sedimentary rocks (like limestone), and the ""locking up"" of carbon within the remains of dead organisms that formed fossil fuels (coal, crude oil, and gas)."
4.9.2.1,Greenhouse gases,Student should be able to describe the greenhouse effect in terms of the interaction of short and long wavelength radiation with matter.,"Greenhouse gases, including water vapour, carbon dioxide, and methane, are vital for maintaining Earth's temperature to support life. They allow short-wavelength radiation from the sun to pass through but absorb the long-wavelength (thermal) radiation reflected from Earth's surface, trapping heat in the atmosphere."
4.9.2.2,Human activities and greenhouse gases,Student should be able to: recall two human activities that increase $CO_2$ and methane; evaluate the quality of evidence in reports about climate change; recognize the importance of peer review.,"Human activities, specifically the burning of fossil fuels (releasing $CO_2$) and intensive cattle farming/landfill (releasing methane), are increasing greenhouse gas concentrations. While complex to model, peer-reviewed scientific consensus points to these activities as the primary cause of rising global surface temperatures."
4.9.2.3,Global climate change,"Student should be able to: describe briefly four potential effects of global climate change; discuss the scale, risk, and environmental implications of these changes.","Rising global temperatures lead to significant environmental risks. Potential effects include the melting of polar ice caps and rising sea levels, changes in rainfall patterns affecting food production, increased frequency/severity of storms, and shifts in the distribution and extinction of various species."
4.9.2.4,The carbon footprint and its reduction,Student should be able to: describe actions to reduce emissions of carbon dioxide and methane; give reasons why these actions may be limited.,"The carbon footprint measures the total greenhouse gas emissions over the full life cycle of a product, service, or event. Reduction strategies include using renewable energy, carbon capture, and dietary changes, though implementation is often limited by economic costs, lack of international agreement, or individual lifestyle choices."
4.9.3.1,Atmospheric pollutants from fuels,"Student should be able to: describe how carbon monoxide, soot, sulfur dioxide, and oxides of nitrogen are produced; predict combustion products given fuel composition.","Combustion of fuels containing carbon, hydrogen, and sulfur releases pollutants. Complete combustion produces $CO_2$; incomplete combustion produces toxic Carbon Monoxide and soot (carbon particulates). High-temperature engine reactions produce Oxides of Nitrogen, while sulfur impurities in fuel produce Sulfur Dioxide."
4.9.3.2,Properties and effects of atmospheric pollutants,"Student should be able to describe and explain the specific health and environmental problems caused by carbon monoxide, sulfur dioxide, nitrogen oxides, and particulates.","Pollutants have severe impacts: Carbon Monoxide is a ""silent killer"" (toxic, colourless, odourless); Sulfur Dioxide and Oxides of Nitrogen cause respiratory issues and acid rain; Particulates lead to global dimming (reducing sunlight reaching Earth) and cause various human health problems."
4.10.1.1,Using the Earth's resources and sustainable development,"Student should be able to: state examples of natural products that are supplemented or replaced by agricultural and synthetic products; distinguish between finite and renewable resources; extract and interpret information about resources from charts, graphs and tables.","Humans rely on Earth's natural resources for warmth, shelter, food, and transport. Sustainable development is a central concept, defined as meeting current needs without compromising future generations. Chemistry improves industrial processes to provide new products while balancing the use of renewable resources (which can be replaced) and finite resources (which are limited and processed for energy and materials)."
4.10.1.2,Potable water,Student should be able to: distinguish between potable water and pure water; describe the differences in treatment of ground water and salty water; give reasons for the steps used to produce potable water.,"Potable water is water safe for human consumption, containing low levels of dissolved salts and microbes. In the UK, fresh water is treated via filtration and sterilisation (using chlorine, ozone, or UV). In areas with limited fresh water, desalination is used through energy-intensive processes like distillation or reverse osmosis."
4.10.1.3,Waste water treatment,"Student should be able to comment on the relative ease of obtaining potable water from waste, ground, and salt water.","Waste water from urban, agricultural, and industrial sources requires multi-stage treatment to remove organic matter and harmful microbes. This includes screening/grit removal, sedimentation to produce sludge and effluent, anaerobic digestion of sludge, and aerobic biological treatment of effluent."
4.10.1.4,Alternative methods of extracting metals (HT only),"Student should be able to evaluate alternative biological methods of metal extraction, given appropriate information.","As high-grade ores become scarce, biological methods are used for low-grade ores. Phytomining uses plants to absorb metal compounds, which are then harvested and burned to ash. Bioleaching uses bacteria to produce leachate solutions. Metals are then extracted from these solutions via displacement (using scrap iron) or electrolysis."
4.10.2.1,Life cycle assessment,Student should be able to: carry out simple comparative LCAs for products like shopping bags; interpret LCAs of materials; identify that LCAs involve value judgements and are not purely objective.,"Life cycle assessments (LCAs) evaluate the environmental impact of a product through four stages: raw material extraction, manufacturing/packaging, use during lifetime, and disposal/transport. While energy and waste can be quantified, pollutant effects often require subjective value judgements."
4.10.2.2,Ways of reducing the use of resources,"Student should be able to evaluate ways of reducing the use of limited resources, given appropriate information.","Sustainability is improved by reducing the use of materials, reusing products (like glass bottles), and recycling. Recycling metals involves melting and recasting, which conserves energy and reduces the environmental impact of mining and quarrying."
4.10.3.1,Corrosion and its prevention,Student should be able to: describe experiments showing that air and water are necessary for rusting; explain sacrificial protection in terms of relative reactivity.,"Corrosion is the chemical destruction of materials by the environment. Rusting (specifically of iron) requires both oxygen and water. Prevention methods include barrier coatings (paint, grease, electroplating), oxide layers (aluminium), or sacrificial protection where a more reactive metal like zinc is used to galvanise the iron."
4.10.3.2,Alloys as useful materials,"Student should be able to: recall a use of specific alloys (bronze, brass, gold, steel, aluminium); interpret and evaluate the composition of alloys.","Alloys are mixtures of metals designed for specific properties. Bronze (Cu+Sn) and Brass (Cu+Zn) have decorative/mechanical uses. Gold is alloyed for hardness. Steels are iron alloys with carbon; high carbon is strong/brittle, low carbon is soft, and stainless steel (Cr+Ni) resists corrosion."
4.10.3.3,"Ceramics, polymers and composites",Student should be able to: explain how LD and HD poly(ethene) are produced; explain the difference between thermosoftening and thermosetting polymers; compare physical properties of materials; select appropriate materials for uses.,"Glass is made from sand and carbonates, while ceramics are made from shaped clay fired in a furnace. Polymers vary based on monomers and conditions (LD vs HD polyethene). Thermosoftening polymers melt when heated; thermosetting polymers do not due to cross-links. Composites consist of a reinforcement material surrounded by a matrix binder."
4.10.4.1,The Haber process,"Student should be able to: recall raw material sources for nitrogen and hydrogen; (HT only) explain the trade-off between rate and equilibrium position in commercial conditions ($450^\circ\text{C}$, 200 atm, iron catalyst).","The Haber process produces ammonia ($NH_3$) for fertilisers. Nitrogen is obtained from the air and hydrogen from natural gas. The reversible reaction uses an iron catalyst. High pressure favours the forward reaction, while a compromised temperature is used to balance high rate against a lower equilibrium yield."
4.10.4.2,Production and uses of NPK fertilisers,Student should be able to: recall the names of salts produced when phosphate rock is treated with acids; compare industrial production with laboratory preparations.,"NPK fertilisers are formulations of nitrogen, phosphorus, and potassium to improve crop yield. Ammonia is used to make ammonium salts and nitric acid. Phosphate rock is mined and treated with nitric, sulfuric, or phosphoric acid to produce soluble salts suitable for use as fertiliser."
WS 1.1,Understand how scientific methods and theories develop over time,Student should be able to: Give examples to show how scientific methods and theories have changed over time; Explain why new data led to changes in models or theories; Decide if data supports a theory.,"Focuses on the historical development of science. Recognizes that new experimental evidence leads to models being changed or replaced, using examples like the evolution of the atomic model."
WS 1.2,Use a variety of models to solve problems and develop scientific explanations,"Student should be able to: Use representational, spatial, descriptive, and mathematical models; Recognize/draw/interpret diagrams; Translate data to a model; Make predictions or calculate quantities.",Involves using physical or conceptual models (like dot-and-cross diagrams or the particle model) to explain chemical phenomena and make predictions about unfamiliar facts.
WS 1.3,Appreciate the power and limitations of science and consider ethical issues,Student should be able to: Explain why data is needed to answer questions; Understand why data may be uncertain or unavailable; Outline simple ethical arguments regarding new technology.,"Addresses the boundaries of scientific knowledge and the moral implications of technological advancements, such as the use of nanoparticles or nuclear energy."
WS 1.4,Explain everyday and technological applications of science,"Student should be able to: Evaluate personal, social, economic, and environmental implications; Make decisions based on the evaluation of evidence and arguments.","Focuses on how chemistry is applied in the real world (e.g., the Haber Process) and evaluating the balance between industrial needs and environmental impact."
WS 1.5,Evaluate risks in practical science and wider societal context,Student should be able to: Identify hazards in technologies; Contrast perceived risk vs. measured risk; Suggest methods to reduce harm.,"Requires understanding the difference between a hazard (something that can cause harm) and risk (the chance of that harm occurring), applied to lab safety and global issues."
WS 1.6,Recognise the importance of peer review and communicating results,Student should be able to: Explain how peer review detects false claims; Distinguish between peer-reviewed reports and popular media.,Covers the validation process of scientific data. Ensures that claims are checked by other scientists to establish a consensus and prevent bias.
WS 2.1,Use scientific theories and explanations to develop hypotheses,Student should be able to: Suggest a hypothesis to explain given observations or data.,The ability to propose a scientific starting point for an investigation based on existing knowledge or early observations.
WS 2.2,Plan experiments or devise procedures,"Student should be able to: Describe practical procedures; Explain design choices; Identify independent, dependent, and control variables.",Covers experimental design. Requires students to understand how to keep an investigation 'fair' by manipulating one variable and controlling others.
WS 2.3,Select appropriate techniques and apparatus,"Student should be able to: Choose the correct material, instrument, or technique for a specific purpose and justify the choice.","Involves selecting lab equipment (e.g., using a pipette instead of a measuring cylinder for higher accuracy) based on the precision required."
WS 2.4,Carry out experiments with regard for accuracy and safety,Student should be able to: Manipulate apparatus correctly; Identify main hazards; Suggest methods to reduce risk.,"Focuses on the practical execution of experiments, including safe handling of chemicals (e.g., using a fume cupboard) and accurate measurement techniques."
WS 2.5,Recognise when to apply sampling techniques,Student should be able to: Ensure samples collected are representative; Suggest and describe appropriate sampling techniques.,"Applied when testing large environments, such as testing the pH of soil in a field or pollutants in a river, to ensure the data represents the whole."
WS 2.6,Make and record observations and measurements,Student should be able to: Use a range of apparatus; Read scales and record data appropriately with units.,Ensures that observations (qualitative) and measurements (quantitative) are logged systematically during required practicals.
WS 2.7,Evaluate methods and suggest possible improvements,Student should be able to: Assess if measurements were precise; Evaluate method validity; Suggest further investigations.,Refers to the 'post-lab' phase where the experimental design is critiqued for errors and ways to increase reliability are proposed.
WS 3.1,Presenting observations and other data using appropriate methods,"Student should be able to: Construct and interpret frequency tables, bar charts, and histograms; Plot two variables from data.",Focuses on the visual representation of results using standard scientific conventions.
WS 3.2,Translating data from one form to another,Student should be able to: Translate data between graphical and numeric form.,The skill of moving between raw data tables and their corresponding visual representations.
WS 3.3,Carrying out and representing mathematical analysis,Student should be able to: Use significant figures; Find mean and range; Change the subject of an equation; Determine gradients and intercepts.,"The mathematical toolkit for chemistry, including calculating the slope of a tangent to determine the rate of reaction."
WS 3.4,Representing distributions of results and estimations of uncertainty,Student should be able to: Apply the idea that measurements have uncertainty; Use the range about the mean as a measure of uncertainty.,Recognizes that no measurement is perfect. Uses the spread of data to calculate the plus/minus margin of error.
WS 3.5,Interpreting observations and other data,Student should be able to: Use data to make predictions; Recognize patterns and trends; Draw conclusions from observations.,"Covers the analysis of results to state exactly what the data shows, such as identifying proportional relationships."
WS 3.6,Presenting reasoned explanations,Student should be able to: Comment on whether data is consistent with a hypothesis; Identify the best explanation for data.,Linking the results back to the original theory to see if the hypothesis was supported or refuted.
WS 3.7,Being objective and identifying potential sources of error,"Student should be able to: Evaluate data in terms of accuracy, precision, repeatability, and reproducibility; Identify random and systematic errors.",Distinguishes between repeatability (you get same result) and reproducibility (others get same result). Identifies and explains anomalous values.
WS 3.8,Communicating the scientific rationale,Student should be able to: Present coherent and logically structured responses; Report findings using verbal and symbolic forms.,"The final stage of an investigation where findings are communicated clearly, often required in extended 6-mark practical responses."
WS 4.1,Use scientific vocabulary and definitions,Student should be able to: Use technical terms correctly in context.,"Ensures that the correct chemical language (e.g., 'aqueous', 'precipitate', 'molar') is used to prevent ambiguity."
WS 4.2,Recognise the importance of scientific quantities,Student should be able to: Understand how different quantities are determined.,"Understanding the physical meaning behind measurements like mass, volume, and temperature."
WS 4.3,Use SI units and IUPAC chemical nomenclature,"Student should be able to: Use standard units (kg, g, m, J) and follow international naming conventions for chemicals.","Consistency in naming and measurement, such as using 'Copper(II) sulfate' instead of just 'blue copper crystals'."
WS 4.4,Use prefixes and powers of ten for orders of magnitude,"Student should be able to: Use prefixes like kilo, centi, milli, micro, and nano.","Essential for calculations involving different scales, especially in nanoscience and atomic structure."
WS 4.5,Interconvert units,Student should be able to: Convert between units (e.g. cm3 to dm3 or g to kg).,A critical skill for quantitative chemistry calculations like concentration and molarity.
WS 4.6,Use an appropriate number of significant figures,Student should be able to: Round answers based on the least certain measurement in a calculation.,Ensures that the precision of a final answer reflects the precision of the data collected during the experiment.
RPA 1,"Preparation of a pure, dry sample of a soluble salt from an insoluble oxide or carbonate, using a Bunsen burner to heat dilute acid and a water bath or electric heater to evaporate the solution.","Students should be able to: safe use of appropriate heating devices and techniques including use of a Bunsen burner and a water bath or electric heater, safe use of appropriate heating devices and techniques including use of a Bunsen burner and a water bath or electric heater, use of appropriate apparatus and techniques for conducting chemical reactions, including appropriate reagents, safe use of a range of equipment to purify and/or separate chemical mixtures including evaporation, filtration, crystallisation, afe use and careful handling of liquids and solids, including careful mixing of reagents under controlled conditions","Prepare a soluble salt by reacting an insoluble base with an acid, adding excess solid to ensure all acid reacts. Filter to remove unreacted solid, then evaporate the solution and allow crystals to form by crystallisation before drying the salt."
RPA 2 (chemistry only),Determination of the reacting volumes of solutions of a strong acid and a strong alkali by titration. Determination of the concentration of one of the solutions in mol/dm3 and g/dm3 from the reacting volumes and the known concentration of the other solution.,"Students should be able to: use of appropriate apparatus to make and record a range of measurements accurately, including volume of liquids, the determination of concentrations of strong acids and strong alkalis.","Determine the concentration of an acid or alkali by carrying out a titration using a pipette, burette, and indicator. Add one solution to another until the end-point colour change is reached, then use volume measurements to calculate concentration, repeating for accuracy."
RPA 3,Investigate what happens when aqueous solutions are electrolysed using inert electrodes. This should be an investigation involving developing a hypothesis.,"Students should be able to: use of appropriate apparatus and techniques for conducting and monitoring chemical reactions, use of appropriate apparatus and techniques to draw, set up and use electrochemical cells for separation and production of elements and compounds, use of appropriate qualitative reagents and techniques to analyse and identify unknown samples or products including gas tests for hydrogen, oxygen and chlorine.","Investigate electrolysis by passing an electric current through an electrolyte using inert electrodes, then identify the products formed at each electrode. Use observations and gas tests to determine the substances produced and relate them to the ions present in the solution."
RPA 4,"Investigate the variables that affect temperature changes in reacting solutions such as, eg acid plus metals, acid plus carbonates, neutralisations, displacement of metals.","Students should be able to: use of appropriate apparatus to make and record a range of measurements accurately, including mass, temperature, and volume of liquids, use of appropriate apparatus and techniques for conducting and monitoring chemical reactions, making and recording of appropriate observations during chemical reactions including changes in temperature, safe use and careful handling of gases, liquids and solids, including careful mixing of reagents under controlled conditions, using appropriate apparatus to explore chemical changes, ","Measure temperature changes during chemical reactions using a simple calorimeter (polystyrene cup). Record initial and final temperatures to determine the energy change, identifying reactions as exothermic or endothermic while minimising heat loss to improve accuracy."
RPA 5,Investigate how changes in concentration affect the rates of reactions by a method involving measuring the volume of a gas produced and a method involving a change in colour or turbidity. This should be an investigation involving developing a hypothesis.,"Students should be able to: use of appropriate apparatus to make and record a range of measurements accurately, including mass, time, temperature, and volume of liquids and gases, use of appropriate apparatus and techniques for conducting and monitoring chemical reactions, making and recording of appropriate observations during chemical reactions including the measurement of rates of reaction by a variety of methods such as production of gas and colour change, safe use and careful handling of gases, liquids and solids, including careful mixing of reagents under controlled conditions, using appropriate apparatus to explore chemical changes.","Investigate the rate of a chemical reaction by measuring gas production or observing a change such as turbidity (e.g. disappearing cross). Vary a factor like concentration, record the time taken or volume of gas produced, and use this data to determine how the factor affects reaction rate while controlling variables."
RPA 6,Investigate how paper chromatography can be used to separate and tell the difference between coloured substances. Students should calculate Rf values.,"Students should be able to: use of appropriate apparatus to make and record a range of measurements accurately, safe use of a range of equipment to purify and/or separate chemical mixtures including
chromatography.",Separate mixtures of substances (e.g. dyes) using paper chromatography by allowing a solvent to carry components up the paper. Measure distances travelled by the solvent and substances to calculate Rf values and identify compounds.
RPA 7,Use of chemical tests to identify the ions in unknown single ionic compounds covering the ions,"Students should be able to: safe use of a Bunsen burner, use of appropriate qualitative reagents and techniques to analyse and identify unknown samples or products including gas tests, flame tests, precipitation reactions.","Identify different gases and ions using chemical tests. Carry out gas tests (e.g. hydrogen, oxygen, carbon dioxide, chlorine) and test for anions and cations using reagents that produce characteristic colour changes or precipitates, including flame tests and reactions with acids or sodium hydroxide."
RPA 8,"Analysis and purification of water samples from different sources, including pH, dissolved solids and distillation","Students should be able to: safe use of appropriate heating devices and techniques including use of a Bunsen burner and a water bath or electric heater, use of appropriate apparatus and techniques for the measurement of pH in different situations, safe use of a range of equipment to purify and/or separate chemical mixtures including evaporation, distillation.","Analyse water samples by measuring pH and determining dissolved solids through evaporation, then purify water using simple distillation. Assess purity by measuring boiling point and comparing to that of pure water."
